resnet152_v2,MR-1,28.515%,17.399%,13.049%,9.448%,7.361%,5.596%,4.855%,4.069%,3.141%,2.112%,1.154%,1.405%,0.501%,0.603%,0.390%,0.500%,0.298%,0.109%,0.000%,0.000%,0.000%
resnet152_v2,MR-2,49.754%,35.418%,23.003%,15.403%,11.363%,8.907%,6.887%,6.234%,4.529%,4.479%,3.644%,3.253%,2.503%,2.010%,1.906%,1.501%,1.141%,0.925%,0.781%,0.562%,0.492%
resnet152_v2,MR-12,26.352%,11.972%,6.775%,3.414%,1.737%,1.218%,0.903%,0.523%,0.511%,0.255%,0.072%,0.111%,0.039%,0.040%,0.000%,0.045%,0.050%,0.054%,0.000%,0.000%,0.000%
inception_v3,MR-1,31.367%,18.351%,14.680%,10.599%,8.871%,6.700%,5.645%,5.002%,3.798%,2.695%,1.876%,1.738%,0.924%,0.643%,0.563%,0.591%,0.199%,0.272%,0.279%,0.375%,0.045%
inception_v3,MR-2,51.082%,37.738%,23.547%,16.634%,13.062%,9.212%,7.076%,6.159%,5.588%,4.261%,3.030%,3.475%,2.734%,2.372%,2.080%,2.002%,1.836%,1.361%,0.949%,0.625%,1.388%
inception_v3,MR-12,28.614%,12.635%,6.734%,3.493%,1.963%,1.332%,0.903%,0.672%,0.365%,0.364%,0.216%,0.222%,0.077%,0.000%,0.000%,0.136%,0.000%,0.054%,0.000%,0.000%,0.000%
inception_resnet_v2,MR-1,33.825%,21.541%,16.144%,13.458%,10.910%,8.641%,6.737%,6.159%,5.150%,3.897%,2.633%,2.107%,0.963%,1.086%,0.997%,0.728%,0.248%,0.272%,0.112%,0.062%,0.000%
inception_resnet_v2,MR-2,53.097%,34.341%,19.950%,13.378%,9.060%,5.938%,5.194%,5.338%,3.944%,3.314%,2.850%,2.514%,2.464%,1.488%,2.123%,1.456%,0.993%,1.143%,0.614%,0.187%,0.671%
inception_resnet_v2,MR-12,29.695%,12.966%,5.981%,3.414%,2.114%,1.218%,0.866%,0.523%,0.475%,0.364%,0.216%,0.148%,0.039%,0.040%,0.000%,0.000%,0.000%,0.054%,0.000%,0.000%,0.000%
mobilenet,MR-1,27.188%,14.250%,9.912%,7.106%,5.323%,3.578%,2.860%,2.314%,2.228%,1.202%,0.974%,0.555%,0.462%,0.201%,0.217%,0.227%,0.050%,0.000%,0.000%,0.000%,0.000%
mobilenet,MR-2,44.346%,43.289%,36.554%,27.908%,23.216%,17.891%,12.834%,11.497%,10.336%,8.631%,6.133%,5.841%,4.967%,4.222%,3.466%,2.957%,2.283%,1.524%,1.451%,1.437%,0.627%
mobilenet,MR-12,26.008%,12.510%,7.277%,3.573%,2.869%,1.447%,0.753%,0.448%,0.475%,0.328%,0.180%,0.111%,0.116%,0.040%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
mobilenet_v2,MR-1,26.352%,13.753%,9.159%,7.027%,5.210%,3.959%,3.086%,3.098%,1.497%,1.384%,1.082%,0.628%,0.501%,0.281%,0.260%,0.227%,0.050%,0.054%,0.000%,0.000%,0.000%
mobilenet_v2,MR-2,45.379%,44.408%,36.094%,25.566%,20.272%,17.130%,13.248%,9.966%,8.254%,7.247%,7.107%,5.952%,4.929%,3.860%,3.640%,2.411%,2.283%,2.559%,2.065%,0.999%,1.746%
mobilenet_v2,MR-12,25.664%,12.138%,6.692%,4.049%,2.378%,1.332%,1.280%,0.635%,0.365%,0.255%,0.216%,0.185%,0.039%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
densenet121,MR-1,29.646%,19.594%,14.973%,11.552%,9.098%,6.966%,5.231%,4.666%,3.689%,2.586%,1.984%,1.257%,0.809%,0.402%,0.303%,0.273%,0.248%,0.109%,0.391%,0.625%,1.074%
densenet121,MR-2,45.477%,31.732%,20.703%,15.324%,11.061%,9.935%,7.000%,6.682%,5.661%,4.734%,4.401%,3.216%,3.581%,2.131%,2.210%,2.593%,1.836%,0.925%,0.837%,0.312%,1.611%
densenet121,MR-12,26.500%,12.510%,6.692%,3.930%,2.341%,1.408%,0.866%,0.672%,0.548%,0.473%,0.180%,0.111%,0.039%,0.040%,0.043%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
densenet169,MR-1,31.563%,20.464%,15.726%,12.545%,10.457%,7.880%,5.758%,5.412%,3.798%,2.731%,1.371%,1.331%,0.847%,0.362%,0.477%,0.409%,0.298%,0.163%,0.000%,0.000%,0.000%
densenet169,MR-2,46.460%,30.406%,20.243%,14.291%,11.099%,8.222%,6.473%,6.271%,4.711%,4.843%,4.221%,3.364%,2.849%,2.694%,1.603%,1.729%,1.439%,0.817%,0.949%,0.937%,0.850%
densenet169,MR-12,28.024%,12.925%,6.901%,3.771%,2.492%,1.408%,1.016%,0.821%,0.438%,0.364%,0.216%,0.259%,0.077%,0.040%,0.000%,0.091%,0.000%,0.000%,0.000%,0.000%,0.000%
densenet201,MR-1,32.448%,19.594%,15.015%,12.346%,9.664%,7.309%,5.570%,5.114%,3.798%,2.768%,1.984%,1.109%,0.809%,0.523%,0.477%,0.409%,0.199%,0.218%,0.056%,0.000%,0.000%
densenet201,MR-2,47.247%,31.856%,22.166%,15.125%,10.797%,8.641%,6.775%,6.756%,5.259%,5.062%,3.932%,2.699%,2.618%,2.573%,1.863%,2.320%,1.390%,0.817%,1.060%,0.562%,0.850%
densenet201,MR-12,28.417%,12.635%,7.235%,4.010%,2.076%,1.485%,1.129%,0.747%,0.365%,0.255%,0.144%,0.259%,0.039%,0.000%,0.000%,0.045%,0.000%,0.054%,0.000%,0.000%,0.000%
nasnet_mobile,MR-1,28.515%,15.866%,11.460%,9.448%,7.399%,5.824%,4.592%,3.957%,2.958%,2.185%,1.479%,1.109%,0.770%,0.402%,0.347%,0.364%,0.199%,0.054%,0.056%,0.062%,0.000%
nasnet_mobile,MR-2,48.083%,47.556%,37.767%,27.074%,22.424%,15.074%,11.855%,10.900%,9.131%,6.956%,5.664%,5.619%,4.544%,3.217%,3.466%,2.593%,1.390%,1.633%,1.004%,0.874%,0.985%
nasnet_mobile,MR-12,27.434%,13.670%,7.654%,4.645%,3.247%,1.941%,0.903%,0.859%,0.584%,0.401%,0.180%,0.111%,0.116%,0.040%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
nasnet_large,MR-1,37.119%,25.145%,19.741%,16.514%,13.892%,10.849%,9.861%,7.839%,6.611%,5.572%,4.040%,3.586%,1.964%,1.729%,1.430%,1.092%,0.794%,0.381%,0.112%,0.125%,0.090%
nasnet_large,MR-2,55.064%,29.453%,16.269%,10.480%,7.626%,6.243%,5.006%,4.255%,4.054%,2.586%,2.489%,2.107%,1.540%,1.649%,1.560%,0.910%,0.993%,0.871%,0.781%,0.874%,1.253%
nasnet_large,MR-12,31.809%,12.510%,5.939%,2.938%,1.963%,1.066%,1.204%,0.784%,0.402%,0.364%,0.108%,0.148%,0.000%,0.080%,0.043%,0.045%,0.000%,0.054%,0.000%,0.000%,0.045%
