filename,Violate MR-1 by 3 colors,Violate MR-1 by 15 colors,Violate MR-2 by 3 colors,Violate MR-2 by 15 colors
ILSVRC2012_val_00000155.JPEG,False,False,False,False
ILSVRC2012_val_00000157.JPEG,False,False,False,False
ILSVRC2012_val_00000158.JPEG,False,False,False,False
ILSVRC2012_val_00000160.JPEG,False,False,False,False
ILSVRC2012_val_00000163.JPEG,False,False,False,False
ILSVRC2012_val_00000164.JPEG,False,False,False,False
ILSVRC2012_val_00000165.JPEG,False,False,False,False
ILSVRC2012_val_00000166.JPEG,False,False,False,False
ILSVRC2012_val_00000167.JPEG,True,False,False,False
ILSVRC2012_val_00000168.JPEG,False,False,False,False
ILSVRC2012_val_00000169.JPEG,False,False,False,False
ILSVRC2012_val_00000170.JPEG,False,False,False,False
ILSVRC2012_val_00000171.JPEG,False,False,False,False
ILSVRC2012_val_00000172.JPEG,False,False,False,False
ILSVRC2012_val_00000173.JPEG,False,False,False,False
ILSVRC2012_val_00000174.JPEG,False,False,False,False
ILSVRC2012_val_00000175.JPEG,False,False,False,False
ILSVRC2012_val_00000177.JPEG,False,False,False,False
ILSVRC2012_val_00000178.JPEG,False,False,False,False
ILSVRC2012_val_00000179.JPEG,False,False,False,False
ILSVRC2012_val_00000186.JPEG,False,False,False,False
ILSVRC2012_val_00000187.JPEG,True,True,True,True
ILSVRC2012_val_00000188.JPEG,False,False,False,False
ILSVRC2012_val_00000189.JPEG,True,True,True,True
ILSVRC2012_val_00000190.JPEG,False,False,True,True
ILSVRC2012_val_00000193.JPEG,False,False,True,True
ILSVRC2012_val_00000194.JPEG,False,False,False,False
ILSVRC2012_val_00000195.JPEG,False,False,False,False
ILSVRC2012_val_00000196.JPEG,False,False,False,False
ILSVRC2012_val_00000197.JPEG,False,False,False,False
ILSVRC2012_val_00000198.JPEG,False,False,False,False
ILSVRC2012_val_00000199.JPEG,True,True,True,True
ILSVRC2012_val_00000200.JPEG,False,False,False,False
ILSVRC2012_val_00000201.JPEG,False,False,False,False
ILSVRC2012_val_00000203.JPEG,False,False,False,False
ILSVRC2012_val_00000204.JPEG,False,False,True,True
ILSVRC2012_val_00000206.JPEG,False,False,False,False
ILSVRC2012_val_00000208.JPEG,False,False,False,False
ILSVRC2012_val_00000209.JPEG,False,False,False,False
ILSVRC2012_val_00000211.JPEG,False,False,False,False
ILSVRC2012_val_00000213.JPEG,False,False,False,False
ILSVRC2012_val_00000215.JPEG,False,False,False,False
ILSVRC2012_val_00000216.JPEG,False,False,False,False
ILSVRC2012_val_00000217.JPEG,False,False,False,False
ILSVRC2012_val_00000218.JPEG,False,False,False,False
ILSVRC2012_val_00000220.JPEG,False,False,False,False
ILSVRC2012_val_00000221.JPEG,False,False,False,False
ILSVRC2012_val_00000222.JPEG,False,False,False,False
ILSVRC2012_val_00000224.JPEG,False,False,False,False
ILSVRC2012_val_00000225.JPEG,False,False,False,False
ILSVRC2012_val_00000227.JPEG,False,False,False,False
ILSVRC2012_val_00000229.JPEG,False,False,False,False
ILSVRC2012_val_00000230.JPEG,True,True,True,True
ILSVRC2012_val_00000231.JPEG,False,False,False,False
ILSVRC2012_val_00000233.JPEG,False,False,False,False
ILSVRC2012_val_00000234.JPEG,False,True,False,False
ILSVRC2012_val_00000235.JPEG,True,True,True,True
ILSVRC2012_val_00000237.JPEG,False,False,False,False
ILSVRC2012_val_00000238.JPEG,False,False,False,False
ILSVRC2012_val_00000241.JPEG,False,False,False,False
ILSVRC2012_val_00000242.JPEG,False,False,False,False
ILSVRC2012_val_00000243.JPEG,False,False,False,False
ILSVRC2012_val_00000245.JPEG,False,False,True,True
ILSVRC2012_val_00000246.JPEG,False,False,False,False
ILSVRC2012_val_00000247.JPEG,False,False,False,False
ILSVRC2012_val_00000248.JPEG,False,False,False,False
ILSVRC2012_val_00000249.JPEG,False,False,False,False
ILSVRC2012_val_00000251.JPEG,True,True,True,True
ILSVRC2012_val_00000254.JPEG,False,False,True,True
ILSVRC2012_val_00000256.JPEG,False,False,False,False
ILSVRC2012_val_00000258.JPEG,False,False,False,False
ILSVRC2012_val_00000259.JPEG,False,False,False,False
ILSVRC2012_val_00000262.JPEG,False,False,False,False
ILSVRC2012_val_00000264.JPEG,False,False,False,False
ILSVRC2012_val_00000265.JPEG,False,False,False,True
ILSVRC2012_val_00000266.JPEG,False,False,False,False
ILSVRC2012_val_00000271.JPEG,False,False,False,False
ILSVRC2012_val_00000272.JPEG,False,False,False,False
ILSVRC2012_val_00000273.JPEG,False,False,False,False
ILSVRC2012_val_00000276.JPEG,False,False,False,False
ILSVRC2012_val_00000278.JPEG,False,False,False,False
ILSVRC2012_val_00000280.JPEG,False,False,False,False
ILSVRC2012_val_00000281.JPEG,False,False,False,False
ILSVRC2012_val_00000283.JPEG,False,False,False,False
ILSVRC2012_val_00000284.JPEG,False,False,False,False
ILSVRC2012_val_00000287.JPEG,False,False,False,False
ILSVRC2012_val_00000288.JPEG,False,False,False,False
ILSVRC2012_val_00000289.JPEG,False,False,False,False
ILSVRC2012_val_00000293.JPEG,False,False,True,True
ILSVRC2012_val_00000294.JPEG,False,False,False,False
ILSVRC2012_val_00000298.JPEG,False,False,False,True
ILSVRC2012_val_00000299.JPEG,False,False,False,False
ILSVRC2012_val_00000300.JPEG,False,False,False,False
ILSVRC2012_val_00000301.JPEG,False,False,True,True
ILSVRC2012_val_00000304.JPEG,False,False,False,True
ILSVRC2012_val_00000305.JPEG,False,False,False,False
ILSVRC2012_val_00000306.JPEG,False,False,True,True
ILSVRC2012_val_00000307.JPEG,False,False,False,False
ILSVRC2012_val_00000308.JPEG,False,False,False,False
ILSVRC2012_val_00000309.JPEG,False,False,False,False
ILSVRC2012_val_00000311.JPEG,False,False,False,False
ILSVRC2012_val_00000313.JPEG,False,False,False,False
ILSVRC2012_val_00000314.JPEG,False,False,False,False
ILSVRC2012_val_00000316.JPEG,False,False,False,False
ILSVRC2012_val_00000317.JPEG,False,False,True,True
ILSVRC2012_val_00000318.JPEG,False,False,False,False
ILSVRC2012_val_00000319.JPEG,False,False,False,False
ILSVRC2012_val_00000321.JPEG,False,False,False,False
ILSVRC2012_val_00000322.JPEG,False,False,False,False
ILSVRC2012_val_00000323.JPEG,False,False,False,False
ILSVRC2012_val_00000324.JPEG,False,False,False,False
ILSVRC2012_val_00000325.JPEG,False,False,False,False
ILSVRC2012_val_00000326.JPEG,False,False,False,False
ILSVRC2012_val_00000328.JPEG,False,False,False,False
ILSVRC2012_val_00000329.JPEG,False,False,False,False
ILSVRC2012_val_00000330.JPEG,False,False,False,False
ILSVRC2012_val_00000332.JPEG,False,False,False,False
ILSVRC2012_val_00000335.JPEG,False,False,False,False
ILSVRC2012_val_00000336.JPEG,False,False,False,False
ILSVRC2012_val_00000338.JPEG,False,False,True,True
ILSVRC2012_val_00000340.JPEG,False,False,False,False
ILSVRC2012_val_00000341.JPEG,False,False,False,False
ILSVRC2012_val_00000342.JPEG,False,False,True,True
ILSVRC2012_val_00000343.JPEG,False,False,False,False
ILSVRC2012_val_00000344.JPEG,False,False,False,False
ILSVRC2012_val_00000347.JPEG,False,True,True,True
ILSVRC2012_val_00000348.JPEG,False,False,False,False
ILSVRC2012_val_00000349.JPEG,True,True,False,False
ILSVRC2012_val_00000350.JPEG,False,False,False,False
ILSVRC2012_val_00000352.JPEG,False,False,False,False
ILSVRC2012_val_00000353.JPEG,False,False,False,False
ILSVRC2012_val_00000354.JPEG,False,False,False,False
ILSVRC2012_val_00000355.JPEG,False,False,False,False
ILSVRC2012_val_00000356.JPEG,False,False,False,False
ILSVRC2012_val_00000357.JPEG,False,False,False,False
ILSVRC2012_val_00000359.JPEG,False,False,False,False
ILSVRC2012_val_00000361.JPEG,False,False,False,False
ILSVRC2012_val_00000362.JPEG,False,False,False,False
ILSVRC2012_val_00000363.JPEG,False,False,False,False
ILSVRC2012_val_00000365.JPEG,False,False,False,False
ILSVRC2012_val_00000366.JPEG,False,False,False,False
ILSVRC2012_val_00000367.JPEG,False,False,False,False
ILSVRC2012_val_00000368.JPEG,False,False,False,False
ILSVRC2012_val_00000369.JPEG,False,False,False,False
ILSVRC2012_val_00000370.JPEG,False,False,False,False
ILSVRC2012_val_00000371.JPEG,False,False,False,False
ILSVRC2012_val_00000372.JPEG,False,False,False,False
ILSVRC2012_val_00000373.JPEG,False,False,False,False
ILSVRC2012_val_00000374.JPEG,False,False,False,False
ILSVRC2012_val_00000375.JPEG,False,False,False,False
ILSVRC2012_val_00000376.JPEG,False,False,False,False
ILSVRC2012_val_00000378.JPEG,False,False,False,False
ILSVRC2012_val_00000381.JPEG,False,False,False,True
ILSVRC2012_val_00000382.JPEG,False,False,False,False
ILSVRC2012_val_00000383.JPEG,False,False,False,False
ILSVRC2012_val_00000384.JPEG,False,False,False,False
ILSVRC2012_val_00000386.JPEG,False,False,False,False
ILSVRC2012_val_00000388.JPEG,False,False,False,False
ILSVRC2012_val_00000390.JPEG,False,False,False,False
ILSVRC2012_val_00000391.JPEG,False,False,False,False
ILSVRC2012_val_00000392.JPEG,False,False,False,False
ILSVRC2012_val_00000393.JPEG,False,False,False,False
ILSVRC2012_val_00000394.JPEG,True,True,False,False
ILSVRC2012_val_00000395.JPEG,False,False,True,True
ILSVRC2012_val_00000396.JPEG,False,False,False,False
ILSVRC2012_val_00000397.JPEG,True,True,False,False
ILSVRC2012_val_00000398.JPEG,False,False,True,True
ILSVRC2012_val_00000399.JPEG,False,False,False,False
ILSVRC2012_val_00000401.JPEG,False,False,False,False
ILSVRC2012_val_00000403.JPEG,False,False,False,False
ILSVRC2012_val_00000404.JPEG,False,False,False,False
ILSVRC2012_val_00000405.JPEG,False,False,False,False
ILSVRC2012_val_00000406.JPEG,False,False,False,False
ILSVRC2012_val_00000407.JPEG,False,False,False,False
ILSVRC2012_val_00000409.JPEG,False,False,False,False
ILSVRC2012_val_00000410.JPEG,True,True,True,True
ILSVRC2012_val_00000411.JPEG,False,False,False,False
ILSVRC2012_val_00000412.JPEG,False,False,False,False
ILSVRC2012_val_00000414.JPEG,False,False,False,False
ILSVRC2012_val_00000415.JPEG,False,False,False,True
ILSVRC2012_val_00000416.JPEG,True,False,True,True
ILSVRC2012_val_00000417.JPEG,False,False,False,False
ILSVRC2012_val_00000420.JPEG,False,False,False,False
ILSVRC2012_val_00000421.JPEG,False,False,False,False
ILSVRC2012_val_00000422.JPEG,False,False,False,False
ILSVRC2012_val_00000423.JPEG,False,False,False,False
ILSVRC2012_val_00000424.JPEG,False,False,False,False
ILSVRC2012_val_00000427.JPEG,False,False,True,True
ILSVRC2012_val_00000428.JPEG,True,True,True,True
ILSVRC2012_val_00000429.JPEG,False,False,False,False
ILSVRC2012_val_00000430.JPEG,True,True,False,False
ILSVRC2012_val_00000431.JPEG,False,False,False,False
ILSVRC2012_val_00000434.JPEG,False,False,True,False
ILSVRC2012_val_00000435.JPEG,False,False,False,False
ILSVRC2012_val_00000437.JPEG,False,False,False,False
ILSVRC2012_val_00000438.JPEG,False,False,False,False
ILSVRC2012_val_00000439.JPEG,False,False,False,False
ILSVRC2012_val_00000440.JPEG,False,False,False,False
ILSVRC2012_val_00000441.JPEG,False,False,False,False
ILSVRC2012_val_00000442.JPEG,False,False,True,True
ILSVRC2012_val_00000444.JPEG,False,False,False,False
ILSVRC2012_val_00000445.JPEG,False,False,False,False
ILSVRC2012_val_00000446.JPEG,False,False,True,True
ILSVRC2012_val_00000447.JPEG,False,False,False,False
ILSVRC2012_val_00000448.JPEG,False,False,False,False
ILSVRC2012_val_00000449.JPEG,True,True,True,True
ILSVRC2012_val_00000450.JPEG,False,False,False,False
ILSVRC2012_val_00000451.JPEG,False,False,False,False
ILSVRC2012_val_00000452.JPEG,False,False,False,False
ILSVRC2012_val_00000453.JPEG,False,False,True,False
ILSVRC2012_val_00000454.JPEG,True,True,True,True
ILSVRC2012_val_00000455.JPEG,False,False,False,False
ILSVRC2012_val_00000456.JPEG,False,False,False,False
ILSVRC2012_val_00000457.JPEG,False,False,False,False
ILSVRC2012_val_00000458.JPEG,False,False,False,False
ILSVRC2012_val_00000459.JPEG,False,False,False,False
ILSVRC2012_val_00000460.JPEG,False,False,False,False
ILSVRC2012_val_00000462.JPEG,False,False,False,False
ILSVRC2012_val_00000463.JPEG,False,False,False,False
ILSVRC2012_val_00000464.JPEG,False,False,False,False
ILSVRC2012_val_00000466.JPEG,False,False,False,False
ILSVRC2012_val_00000467.JPEG,True,False,False,False
